Listening...

CarTelemetryPacket { speed_kph: 0, throttle: 0.0, steer: -0.0, brake: 0.0, clutch: 0, gear: 0, eng_rpm: 3516, drs: 0, rev_light_percent: 0, brake_1_temp: 30, brake_2_temp: 30, brake_3_temp: 30, brake_4_temp: 30, tyre_1_surface_temp: 100, tyre_2_surface_temp: 100, tyre_3_surface_temp: 100, tyre_4_surface_temp: 100, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 86, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 118, throttle: 0.0, steer: -0.0, brake: 0.0, clutch: 0, gear: 2, eng_rpm: 10967, drs: 0, rev_light_percent: 0, brake_1_temp: 34, brake_2_temp: 34, brake_3_temp: 35, brake_4_temp: 35, tyre_1_surface_temp: 99, tyre_2_surface_temp: 99, tyre_3_surface_temp: 99, tyre_4_surface_temp: 99, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 86, tyre_1_pressure: 21.5, tyre_2_pressure: 21.5, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 122, throttle: 0.86783266, steer: -0.30813247, brake: 0.0, clutch: 0, gear: 2, eng_rpm: 11870, drs: 0, rev_light_percent: 99, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 99, tyre_2_surface_temp: 99, tyre_3_surface_temp: 99, tyre_4_surface_temp: 99, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 86, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 1 }

CarTelemetryPacket { speed_kph: 124, throttle: 1.0, steer: -0.20649785, brake: 0.0, clutch: 0, gear: 3, eng_rpm: 9504, drs: 0, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 99, tyre_2_surface_temp: 99, tyre_3_surface_temp: 99, tyre_4_surface_temp: 100, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 86, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 1, tyre_3_surf_type: 0, tyre_4_surf_type: 1 }

CarTelemetryPacket { speed_kph: 129, throttle: 0.7675111, steer: -0.046890434, brake: 0.0, clutch: 0, gear: 3, eng_rpm: 10031, drs: 0, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 99, tyre_2_surface_temp: 99, tyre_3_surface_temp: 99, tyre_4_surface_temp: 99, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 86, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 1, tyre_3_surf_type: 0, tyre_4_surf_type: 1 }

CarTelemetryPacket { speed_kph: 134, throttle: 0.9372493, steer: 0.0038993931, brake: 0.0, clutch: 0, gear: 3, eng_rpm: 10305, drs: 0, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 100, tyre_2_surface_temp: 100, tyre_3_surface_temp: 98, tyre_4_surface_temp: 99, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 86, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 1, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }
