CarTelemetryPacket { speed_kph: 0, throttle: 0.0, steer: -0.0, brake: 0.0, clutch: 0, gear: 0, eng_rpm: 3489, drs: 0, rev_light_percent: 0, brake_1_temp: 30, brake_2_temp: 30, brake_3_temp: 30, brake_4_temp: 30, tyre_1_surface_temp: 85, tyre_2_surface_temp: 85, tyre_3_surface_temp: 90, tyre_4_surface_temp: 90, tyre_1_inner_temp: 85, tyre_2_inner_temp: 85, tyre_3_inner_temp: 90, tyre_4_inner_temp: 90, engine_temp: 89, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 0, throttle: 0.0, steer: -0.0, brake: 0.0, clutch: 0, gear: 0, eng_rpm: 3491, drs: 0, rev_light_percent: 0, brake_1_temp: 30, brake_2_temp: 30, brake_3_temp: 30, brake_4_temp: 30, tyre_1_surface_temp: 85, tyre_2_surface_temp: 85, tyre_3_surface_temp: 90, tyre_4_surface_temp: 90, tyre_1_inner_temp: 85, tyre_2_inner_temp: 85, tyre_3_inner_temp: 90, tyre_4_inner_temp: 90, engine_temp: 89, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 0, throttle: 0.0, steer: -0.0, brake: 0.0, clutch: 0, gear: 0, eng_rpm: 3512, drs: 0, rev_light_percent: 0, brake_1_temp: 30, brake_2_temp: 30, brake_3_temp: 30, brake_4_temp: 30, tyre_1_surface_temp: 85, tyre_2_surface_temp: 85, tyre_3_surface_temp: 90, tyre_4_surface_temp: 90, tyre_1_inner_temp: 85, tyre_2_inner_temp: 85, tyre_3_inner_temp: 90, tyre_4_inner_temp: 90, engine_temp: 89, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 0, throttle: 0.0, steer: -0.0, brake: 0.0, clutch: 0, gear: 0, eng_rpm: 3523, drs: 0, rev_light_percent: 0, brake_1_temp: 30, brake_2_temp: 30, brake_3_temp: 30, brake_4_temp: 30, tyre_1_surface_temp: 85, tyre_2_surface_temp: 85, tyre_3_surface_temp: 90, tyre_4_surface_temp: 90, tyre_1_inner_temp: 85, tyre_2_inner_temp: 85, tyre_3_inner_temp: 90, tyre_4_inner_temp: 90, engine_temp: 89, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 0, throttle: 0.0, steer: -0.0, brake: 0.0, clutch: 0, gear: 0, eng_rpm: 3513, drs: 0, rev_light_percent: 0, brake_1_temp: 30, brake_2_temp: 30, brake_3_temp: 30, brake_4_temp: 30, tyre_1_surface_temp: 85, tyre_2_surface_temp: 85, tyre_3_surface_temp: 90, tyre_4_surface_temp: 90, tyre_1_inner_temp: 85, tyre_2_inner_temp: 85, tyre_3_inner_temp: 90, tyre_4_inner_temp: 90, engine_temp: 89, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 0, throttle: 0.0, steer: -0.0, brake: 0.0, clutch: 0, gear: 0, eng_rpm: 3492, drs: 0, rev_light_percent: 0, brake_1_temp: 30, brake_2_temp: 30, brake_3_temp: 30, brake_4_temp: 30, tyre_1_surface_temp: 85, tyre_2_surface_temp: 85, tyre_3_surface_temp: 90, tyre_4_surface_temp: 90, tyre_1_inner_temp: 85, tyre_2_inner_temp: 85, tyre_3_inner_temp: 90, tyre_4_inner_temp: 90, engine_temp: 89, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }
